Method,Reentrancy_Acc,Reentrancy_Recall,Reentrancy_Prec,Reentrancy_F1,Timestamp_Acc,Timestamp_Recall,Timestamp_Prec,Timestamp_F1,Loops_Acc,Loops_Recall,Loops_Prec,Loops_F1
w/o GCN,95.24,94.53,94.02,94.27,92.81,91.35,91.73,91.54,93.78,92.41,92.03,92.21
,91.05,90.27,88.42,89.34,83.46,82.13,79.84,80.96,74.38,72.04,73.51,72.77
,95.87,95.26,94.62,94.93,91.52,90.14,90.95,90.54,86.13,87.26,86.97,87.11
,97.52,97.04,96.95,96.99,95.68,94.87,95.73,95.3,96.55,94.37,96.12,95.23
TEFIE-Secure (Full Model),97.86,97.41,97.23,97.32,96.75,96.28,96.14,96.21,98.12,97.05,96.82,96.93
